nus_code,nus_name,nus_kortnavn,level_digit,level_name,field_digit,field_name,nus4,isced,complete_pull,n_total,n_employed,n_employed_scored,share_employed,share_selvstendig,share_i_utdanning,share_ledig,share_ufor_aap,share_utenfor,exposure_w,coverage_scored,share_E3,share_E2,share_E1,share_E0,share_top5_v1,exposure2_w,coverage2_scored,share2_E3,share2_E2,share2_E1,share2_E0,share_top5_v2,share_q1_v1,share_q2_v1,share_q3_v1,share_q4_v1,share_q5_v1,share_q1_v2,share_q2_v2,share_q3_v2,share_q4_v2,share_q5_v2,n_occupations,eloundou_beta_w,mouchel_grounded_w,handa_augmentation_w,handa_automation_w,anthropic2026_job_exposure_w,n_total_recent,n_employed_recent,share_employed_recent,exposure_w_recent,share_E3_recent,exposure2_w_recent,share2_E3_recent,share_top5_v1_recent,share_top5_v2_recent,share_i_utdanning_recent,share_ledig_recent
099901,Ingen utdanning,Ingen utdanning,0,Ingen/førskole,9,Uoppgitt fagfelt,0999,0011,True,5522,2032,2032,0.367983,0.034589,0.008511,0.067910,0.312387,0.206990,0.162808,1.000000,0.003937,0.036417,0.176181,0.783465,0.027559,0.135014,1.000000,0.007382,0.052657,0.015256,0.924705,0.047244,0.555610,0.141240,0.185531,0.090059,0.027559,0.544783,0.208661,0.181102,0.018209,0.047244,84,0.160660,0.119786,0.529588,0.321277,0.025643,108,30,0.277778,0.105549,0.000000,0.089246,0.000000,0.000000,0.000000,0.000000,0.351852
101101,Grunnskoleutdanning på barneskolenivå,Barneskole,1,Barneskole,0,Allmenne fag,1011,0011,True,13151,5221,5221,0.397004,0.031709,0.009505,0.122272,0.255342,0.182496,0.155205,1.000000,0.006512,0.023176,0.161463,0.808849,0.021452,0.125220,1.000000,0.003065,0.043095,0.008044,0.945796,0.035242,0.571538,0.137330,0.202643,0.067037,0.021452,0.565984,0.202452,0.181957,0.014365,0.035242,110,0.154476,0.111097,0.522822,0.320633,0.023641,824,155,0.188107,0.133862,0.000000,0.119627,0.000000,0.019355,0.019355,0.008495,0.533981
101999,"Allmenne fag, andre, uspesifiserte, barneskoleutdanning",Barneskole,1,Barneskole,0,Allmenne fag,1019,0011,True,1154,612,612,0.530329,0.045061,0.009532,0.070191,0.139515,0.205373,0.147178,1.000000,0.004902,0.009804,0.155229,0.830065,0.009804,0.127191,1.000000,0.000000,0.044118,0.013072,0.942810,0.032680,0.557190,0.187908,0.183007,0.062092,0.009804,0.553922,0.209150,0.187908,0.016340,0.032680,46,0.148790,0.112845,0.519393,0.303200,0.025405,0,0,,,,,,,,,
159999,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre, uspesifiserte, barneskoleutdanning",Barneskole,1,Barneskole,5,"Naturvitenskap, håndverk og teknikk",1599,0588,True,7,3,3,0.428571,0.000000,0.000000,0.000000,0.571429,0.000000,0.028490,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.012042,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,0.027778,0.010684,0.500000,0.500000,0.000000,0,0,,,,,,,,,
199999,"Barneskoleutdanning, uspesifisert fagfelt",Barneskole,1,Barneskole,9,Uoppgitt fagfelt,1999,0011,True,2370,887,887,0.374262,0.043882,0.003797,0.049789,0.373418,0.154852,0.176345,1.000000,0.004510,0.023675,0.219842,0.751973,0.011274,0.135883,1.000000,0.004510,0.043968,0.000000,0.951522,0.040586,0.521984,0.105975,0.239008,0.121759,0.011274,0.496054,0.261556,0.193912,0.007892,0.040586,51,0.169935,0.120556,0.515096,0.309757,0.021409,0,0,,,,,,,,,
201101,Framhaldsskoleutdanning,Ungdomsskole,2,Ungdomsskole,0,Allmenne fag,2011,0011,True,1283,752,752,0.586126,0.268122,0.000000,0.004677,0.125487,0.009353,0.230375,1.000000,0.000000,0.066489,0.246011,0.687500,0.047872,0.210589,1.000000,0.009309,0.091755,0.030585,0.868351,0.086436,0.351064,0.156915,0.291223,0.152926,0.047872,0.251330,0.321809,0.309840,0.030585,0.086436,50,0.230460,0.186836,0.491225,0.253132,0.042877,0,0,,,,,,,,,
201102,Folkeskoleutdanning,Ungdomsskole,2,Ungdomsskole,0,Allmenne fag,2011,0011,True,1332,768,768,0.576577,0.177928,0.002252,0.023273,0.146396,0.071321,0.207288,1.000000,0.011719,0.066406,0.175781,0.746094,0.057292,0.185834,1.000000,0.014323,0.088542,0.018229,0.878906,0.092448,0.442708,0.160156,0.252604,0.087240,0.057292,0.337240,0.321615,0.238281,0.010417,0.092448,60,0.206621,0.164873,0.534216,0.259500,0.039186,0,0,,,,,,,,,
201103,Grunnskoleutdanning på ungdomsskoletrinnet,Ungdomsskole,2,Ungdomsskole,0,Allmenne fag,2011,0011,True,446048,238882,237908,0.535552,0.041601,0.020924,0.053340,0.287864,0.055873,0.293241,0.995923,0.026876,0.152080,0.277889,0.543155,0.144535,0.282026,0.997463,0.050605,0.173375,0.039492,0.736528,0.185142,0.251934,0.165203,0.310040,0.128289,0.144535,0.226473,0.214642,0.309519,0.064224,0.185142,364,0.293358,0.250216,0.549109,0.272989,0.081913,34745,20375,0.586415,0.214818,0.017845,0.194939,0.013458,0.052629,0.050494,0.097079,0.101885
201104,"Innføringskurs, fremmedspråklige elever","Innføringskurs, fremmedspråklige",2,Ungdomsskole,0,Allmenne fag,2011,0011,True,11410,5109,5109,0.447765,0.031288,0.009641,0.047765,0.336897,0.125767,0.208756,1.000000,0.018595,0.052848,0.222353,0.706205,0.058916,0.182543,1.000000,0.033079,0.057154,0.012918,0.896849,0.075749,0.429047,0.148561,0.274222,0.089254,0.058916,0.408691,0.225093,0.269329,0.021139,0.075749,130,0.208643,0.161954,0.538861,0.323342,0.041177,599,301,0.502504,0.165489,0.000000,0.122876,0.000000,0.000000,0.000000,0.025042,0.083472
201105,Spesialutdanning for elever med særskilte behov,Ungdomsskole,2,Ungdomsskole,0,Allmenne fag,2011,0031,True,3388,659,659,0.194510,0.011216,0.001476,0.092385,0.641972,0.015939,0.202263,1.000000,0.010622,0.062215,0.186646,0.740516,0.063733,0.173860,1.000000,0.000000,0.062215,0.013657,0.924127,0.056146,0.452200,0.136571,0.321700,0.025797,0.063733,0.330804,0.306525,0.294385,0.012140,0.056146,52,0.207776,0.154250,0.497771,0.225149,0.038040,0,0,,,,,,,,,
