field,level,n_employed,rank,styrk08,styrk08_name,share,exposure_norm,exposure2_norm,quintile_v1,quintile_v2
Allmenne fag,Bachelor-nivå,876,1,9112,Renholdere i virksomheter,0.116438,0.028490,0.012042,1,1
Allmenne fag,Bachelor-nivå,876,2,5311,Barnehage- og skolefritidsassistenter mv.,0.075342,0.145058,0.255320,2,3
Allmenne fag,Bachelor-nivå,876,3,5223,Butikkmedarbeidere,0.060502,0.351263,0.329793,3,3
Allmenne fag,Bachelor-nivå,876,4,5321,Helsefagarbeidere,0.049087,0.104302,0.093175,1,2
Allmenne fag,Bachelor-nivå,876,5,5329,Andre pleiemedarbeidere,0.037671,0.268401,0.152646,3,2
Allmenne fag,Bachelor-nivå,876,6,8160,Operatører innen næringsmiddelproduksjon,0.034247,0.095607,0.075530,1,1
Allmenne fag,Bachelor-nivå,876,7,5131,Servitører,0.033105,0.160668,0.057293,2,1
Allmenne fag,Bachelor-nivå,876,8,5120,Kokker,0.029680,0.198235,0.137410,2,2
Allmenne fag,Bachelor-nivå,876,9,3117,"Ingeniører innen petroleum, bergverk og metallurgi",0.023973,0.275666,0.378918,3,4
Allmenne fag,Bachelor-nivå,876,10,3511,"Driftsteknikere, IKT",0.023973,0.626781,0.745853,5,5
Allmenne fag,Barneskole,5833,1,9112,Renholdere i virksomheter,0.277730,0.028490,0.012042,1,1
Allmenne fag,Barneskole,5833,2,5223,Butikkmedarbeidere,0.063432,0.351263,0.329793,3,3
Allmenne fag,Barneskole,5833,3,8160,Operatører innen næringsmiddelproduksjon,0.056403,0.095607,0.075530,1,1
Allmenne fag,Barneskole,5833,4,9412,Kjøkkenassistenter,0.049889,0.012662,0.018680,1,1
Allmenne fag,Barneskole,5833,5,5329,Andre pleiemedarbeidere,0.045431,0.268401,0.152646,3,2
Allmenne fag,Barneskole,5833,6,8322,"Bil-, drosje- og varebilførere",0.034288,0.269958,0.169673,3,2
Allmenne fag,Barneskole,5833,7,5311,Barnehage- og skolefritidsassistenter mv.,0.034116,0.145058,0.255320,2,3
Allmenne fag,Barneskole,5833,8,5120,Kokker,0.031202,0.198235,0.137410,2,2
Allmenne fag,Barneskole,5833,9,4321,Lagermedarbeidere og material-forvaltere,0.030516,0.406720,0.258181,3,3
Allmenne fag,Barneskole,5833,10,8331,Bussjåfører og trikkeførere,0.030173,0.419580,0.167920,4,2
Allmenne fag,Master-nivå,101,1,2310,Universitets- og høyskolelektorer/-lærere,0.128713,0.496858,0.510385,4,4
Allmenne fag,Master-nivå,101,2,5311,Barnehage- og skolefritidsassistenter mv.,0.118812,0.145058,0.255320,2,3
Allmenne fag,Master-nivå,101,3,5329,Andre pleiemedarbeidere,0.108911,0.268401,0.152646,3,2
Allmenne fag,Master-nivå,101,4,9112,Renholdere i virksomheter,0.079208,0.028490,0.012042,1,1
Allmenne fag,Master-nivå,101,5,9412,Kjøkkenassistenter,0.069307,0.012662,0.018680,1,1
Allmenne fag,Master-nivå,101,6,2341,Grunnskolelærere,0.059406,0.337763,0.288960,3,3
Allmenne fag,Master-nivå,101,7,3117,"Ingeniører innen petroleum, bergverk og metallurgi",0.059406,0.275666,0.378918,3,4
Allmenne fag,Master-nivå,101,8,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.049505,0.597785,0.766679,5,5
Allmenne fag,Master-nivå,101,9,2511,Systemanalytikere/-arkitekter,0.049505,0.633256,0.838163,5,5
Allmenne fag,Master-nivå,101,10,3119,Andre ingeniører,0.049505,0.365983,0.336583,3,3
Allmenne fag,Ph.d.,7,1,2310,Universitets- og høyskolelektorer/-lærere,1.000000,0.496858,0.510385,4,4
Allmenne fag,Påbygging/fagskole,5593,1,5321,Helsefagarbeidere,0.070445,0.104302,0.093175,1,2
Allmenne fag,Påbygging/fagskole,5593,2,5311,Barnehage- og skolefritidsassistenter mv.,0.042017,0.145058,0.255320,2,3
